# time,euler_x,euler_y,euler_z
1.863356447219848633e+01,4.592123734350050945e-02,-2.168527852265256239e-01,2.836186679130159760e+00
1.871574521064758301e+01,1.083499137625287823e-01,-2.370659939797679083e-01,2.872675131678476212e+00
1.879941010475158691e+01,1.460870437593799753e-01,-2.289078626758511703e-01,2.856788585343851494e+00
1.888155817985534668e+01,1.108277038780018930e-01,-2.361221092569891766e-01,2.859596599374054193e+00
1.896654176712036133e+01,1.089627846936724875e-01,-2.064528478403999667e-01,2.838056832994452883e+00
1.904994201660156250e+01,8.947896193927817876e-02,-2.090335279262280910e-01,2.837137313035249964e+00
1.913245820999145508e+01,8.109550668618936697e-02,-2.226040884003321896e-01,2.823090873813935531e+00
1.921483659744262695e+01,7.458658542873708441e-02,-2.359581850016290172e-01,2.820964164271982266e+00
1.929827260971069336e+01,8.229756130289889171e-02,-2.416080658720458629e-01,2.816363383537754839e+00
1.938671469688415527e+01,9.207987655457228193e-02,-2.389677277079118589e-01,2.805866326797322508e+00
1.946956110000610352e+01,7.960857471160309728e-02,-2.300864516240512803e-01,2.812829613507854098e+00
1.955540990829467773e+01,7.334664540171376146e-02,-2.192804478732404139e-01,2.807221600966744113e+00
1.963712096214294434e+01,6.030636721412752088e-02,-2.150521173172714740e-01,2.806246950001771268e+00
1.972037506103515625e+01,4.879092557403952313e-02,-2.189635152019533404e-01,2.805592963056720457e+00
1.980219507217407227e+01,3.145780835159039945e-02,-2.099842145008739003e-01,2.804667146802543698e+00
1.988561296463012695e+01,4.628609190968990816e-02,-2.027532666121656391e-01,2.802130263755374440e+00
1.996857142448425293e+01,3.690664102031560034e-02,-2.046267273239195106e-01,2.803652562130872106e+00
2.005186915397644043e+01,4.193602524147421740e-02,-2.039368121288112068e-01,2.801121900691215139e+00
2.013426017761230469e+01,5.742445527414385964e-02,-1.973642382733697964e-01,2.793156487559770973e+00
2.021665096282958984e+01,5.050860896918218934e-02,-1.997362909233302286e-01,2.793580525867482400e+00
2.030136156082153320e+01,4.988912155682578842e-02,-1.973106266325126423e-01,2.792179303931540346e+00
2.038303232192993164e+01,3.881930777560049783e-02,-1.960161762504497585e-01,2.794061243443639597e+00
2.046627712249755859e+01,9.853177590196660063e-03,-1.890547029044684635e-01,2.803366819878469585e+00
2.055034947395324707e+01,1.379254662812545718e-02,-1.882706441081534177e-01,2.806544589464189610e+00
2.063465094566345215e+01,2.062916571659156872e-02,-1.889355149134215317e-01,2.803363382573518248e+00
2.071697473526000977e+01,1.764413345742621431e-02,-1.946325107436246427e-01,2.803938786641615000e+00
2.080036783218383789e+01,9.122605560281771275e-03,-1.959289984421144215e-01,2.800921665420808893e+00
2.088415527343750000e+01,6.504330645400902000e-03,-1.913039859938368004e-01,2.800020509350269027e+00
2.096946740150451660e+01,1.667529842485548919e-02,-1.915286432830136665e-01,2.799917307628231100e+00
